Name;FoodType;Ingredients;sizes;prices
Slovakia;Pugwash;salads, pies, desserts;Citroën, Chrysler, Seat;2, 6, 10
Gabon;Jaboatão dos Guararapes;salads, stews, pies;Dacia, Volvo, Dodge;36, 6, 12
Holy See (Vatican City State);Malvern;salads, desserts, noodles;General Motors, Acura, Mazda;22, 46, 30
Bermuda;Ponoka;pies, sandwiches, seafood;Hyundai Motors, Cadillac, Dacia;14, 2, 50
Latvia;Oranienburg;sandwiches, desserts, soups;Kenworth, Dongfeng Motor, Skoda;20, 42, 38
Armenia;Mansfield-et-Pontefract;stews, seafood, cereals;Maruti Suzuki, Honda, BMW;12, 48, 22
Uganda;Plauen;salads, pasta, desserts;Mazda, Infiniti, Peugeot;48, 46, 2
Marshall Islands;Bloxham;sandwiches, pies, soups;Hyundai Motors, Jeep, Volkswagen;44, 30, 8
Pitcairn Islands;San Juan del Cesar;sandwiches, pasta, stews;Lexus, Dacia, Kia Motors;24, 32, 46
Puerto Rico;Mirpur;desserts, pasta, soups;Skoda, RAM Trucks, Maruti Suzuki;50, 6, 44
British Indian Ocean Territory;Brandon;pasta, cereals, salads;Jeep, Subaru, Renault;44, 38, 28
Malawi;Cartagena;pies, cereals, soups;Mitsubishi Motors, Suzuki, Acura;40, 38, 44
Cambodia;Hermosillo;soups, pasta, stews;Seat, Cadillac, Daimler;46, 18, 8
Guatemala;San Pedro;pasta, desserts, salads;Jeep, Volvo, Acura;40, 34, 38
Mozambique;Motala;salads, stews, noodles;Maruti Suzuki, Renault, Lincoln;50, 48, 44
Martinique;Novo Hamburgo;cereals, pasta, desserts;Kia Motors, Buick, Nissan;46, 24, 22
Thailand;Rovereto;salads, stews, seafood;Kenworth, Dacia, Porsche;24, 44, 16
Cook Islands;Castello Tesino;sandwiches, stews, pasta;Chrysler, Kia Motors, Toyota;48, 34, 4
China;Uberlândia;pies, desserts, seafood;Mazda, Vauxhall, Subaru;16, 10, 32
Bhutan;Bossuit;soups, desserts, pasta;Cadillac, Daihatsu, Mitsubishi Motors;4, 28, 18
Barbados;Selva di Cadore;sandwiches, stews, desserts;JLR, FAW, Mitsubishi Motors;34, 6, 22
Guyana;Edmundston;cereals, desserts, soups;Nissan, BMW, JLR;18, 28, 46
Austria;Waasmunster;noodles, stews, pies;Honda, Hyundai Motors, Lexus;44, 48, 2
Jersey;Roksem;pies, seafood, pasta;Dacia, Kenworth, Mazda;44, 32, 12
Dominican Republic;Saint-Sébastien-sur-Loire;soups, pasta, desserts;Mahindra and Mahindra, Citroën, Mazda;30, 44, 18
Liechtenstein;Haßloch;seafood, soups, cereals;Isuzu, Suzuki, Daihatsu;14, 8, 36
Kuwait;Chiclayo;desserts, cereals, seafood;FAW, Chevrolet, Skoda;46, 40, 2
Azerbaijan;Monteu Roero;sandwiches, cereals, pies;Vauxhall, Toyota, Audi;4, 20, 12
